Periodo;AbreviaEmpresa;IdInterrupcion;NroInterrupcion;UUNN;EE;TipoMed;NaturalezaInterrupcion;ResponsabilidadInterrupcion;ResponsableInterrupcion;PropiedadDeLaInstCausante;CausaInterrupcion;SolicitoFM;IniciaTramiteFM;EstadoFM;Motivo;TipoProgramada;ClasificacionMotivo;Submotivo;SaidiUUNN;Cumple;Fecha
202205;ENOSA;3317152;180061393;Paita;I160096;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Contacto de red con arbol;0;0;Sin Tramite;Falla;NULL;Interno;Contacto de Red con arbol;0.032394376;0;31/05/2022
202205;ENOSA;3317213;200026696;Bajo Piura;I170096;Seccion de Linea o Alimentador;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Aves;0;0;Sin Tramite;Otros y/o terceros;NULL;Interno;Aves;0.009692396;0;31/05/2022
202205;ENOSA;3317230;10230763;Piura;I100903;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.002424428;0;31/05/2022
202205;ENOSA;3318031;10230769;Piura;I100701;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Contacto entre conductores;0;0;Sin Tramite;Falla;NULL;Interno;Contacto entre conductores;0.001146696;0;31/05/2022
202205;ENOSA;3318274;10230786;Piura;I100601;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.033508262;0;31/05/2022
202205;ENOSA;3318788;10230791;Piura;E101960;Subestacion de Distribucion;No Programado, Falla;Distribucion;Propia;Propia;Falla equipo (transformador,interruptor, seccionador de potencia etc);0;0;Sin Tramite;Falla;NULL;Interno;Averia en tablero de distribucion ;0.001489024;0;31/05/2022
202205;ENOSA;3319162;200026912;Bajo Piura;I180006;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.032281698;0;31/05/2022
202205;ENOSA;3319167;200026913;Bajo Piura;A1702  ;Alimentador Media Tension;No Programado, Operacion;Distribucion;Propia;Propia;Corte de emergencia (No incluidos en PM y PE);0;0;Sin Tramite;Por maniobra sin aviso, corta;NULL;Interno;Reparacion de Falso contacto/Punto caliente;0.008983627;0;31/05/2022
202205;ENOSA;3319354;120034235;Alto Piura;I140477;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.004250919;0;31/05/2022
202205;ENOSA;3319858;30084424;Tumbes;L120   ;Linea de Subtransmision;Programado Mantenimiento;Transmision;Otras Empresas Electricas;Otras Empresas Electricas;Por Mantenimiento;0;0;Sin Tramite;Mantenimiento preventivo;Programada por mantenimiento;Externo;Programada por la Transmisora;0.000274253;0;31/05/2022
202205;ENOSA;3319861;10230804;Piura;E101820;Subestacion de Distribucion;No Programado, Falla;Distribucion;Propia;Propia;Animales (Felinos y Roedores);0;0;Sin Tramite;Falla;NULL;Interno;Animales (Felinos y/o roedores);0.001999399;0;31/05/2022
202205;ENOSA;3319872;30084425;Tumbes;L118   ;Linea de Subtransmision;Programado Mantenimiento;Transmision;Otras Empresas Electricas;Otras Empresas Electricas;Por Mantenimiento;0;0;Sin Tramite;Mantenimiento preventivo;Programada por mantenimiento;Externo;Programada por la Transmisora;0.053603619;0;31/05/2022
202205;ENOSA;3319892;10230806;Piura;I100649;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Contacto entre conductores;0;0;Sin Tramite;Falla;NULL;Interno;Contacto entre conductores;0.017813587;0;31/05/2022
202205;ENOSA;3319916;150096570;Sullana;A1522  ;Alimentador Media Tension;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.000543459;0;31/05/2022
202205;ENOSA;3319984;70080847;Talara;I130164;Seccion de Linea o Alimentador;Programado Mantenimiento;Distribucion;Propia;Propia;Por mantenimiento;0;0;Sin Tramite;Mantenimiento preventivo;Programada por mantenimiento;Interno;Cambio de ferreteria y accesorios;0.009588199;0;31/05/2022
202205;ENOSA;3319988;70080848;Talara;I130134;Seccion de Linea o Alimentador;Programado Mantenimiento;Distribucion;Propia;Propia;Por mantenimiento;0;0;Sin Tramite;Mantenimiento preventivo;Programada por mantenimiento;Interno;Cambio de ferreteria y accesorios;0.052267978;0;31/05/2022
202205;ENOSA;3320115;30084426;Tumbes;I120035;Seccion de Linea o Alimentador;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;1;1;Procede;Otros y/o terceros;NULL;Interno;Otros;0.001486344;0;31/05/2022
202205;ENOSA;3320331;120034242;Alto Piura;I140020;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Contacto entre conductores;0;0;Sin Tramite;Falla;NULL;Interno;Contacto entre conductores;0.000022978;0;31/05/2022
202205;ENOSA;3320421;150096571;Sullana;I150613;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.024300181;0;31/05/2022
